n,m,Inst,first_size_graph_AFBC,gap_AFBC,global_lower_bound_AFBC,global_upper_bound_AFBC,nb_generated_col_AFBC,opt_AFBC,reduction_AFBC,rel_error_AFBC,tot_bb_AFBC,tot_cputime_AFBC,tot_lb_AFBC
50,2,66,42415,0.0,40907,40907,748,True,0.9999999999764234,0.0,6.7091939999999965,60.089989,6.694411000000001
50,2,71,42291,0.0,78532,78532,870,True,0.9999999999763542,0.0,6.626812000000001,62.348255,6.606138999999999
50,2,76,57822,0.0,0,0,1,True,0.9999999999827055,0.0,0.093922,0.423779,0.080774
50,2,81,60782,0.0,542,542,673,True,0.5754993254487266,0.0,10.567234999999997,82.43012499999999,9.321709000000013
50,2,86,56774,0.0,12557,12557,247174,True,0.7275689576086313,0.0,1603.246124,1686.419158,1141.8034869999994
50,2,91,58096,0.0,47349,47349,11710,True,0.8674263288201007,0.0,96.77451,173.162694,74.504367
50,2,96,50619,0.0,92822,92822,7804,True,0.9220450818680328,0.0,38.162135000000006,83.51156800000001,28.995651000000045
50,2,101,51299,0.0,0,0,1,True,0.9999999999805065,0.0,0.0710549999999999,0.3248719999999999,0.061692
50,2,106,59079,0.0,0,0,1,True,0.9999999999830735,0.0,0.0775879999999999,0.3638009999999999,0.066664
50,2,111,64306,0.0,15564,15564,2682,True,0.9324168817694707,0.0,16.460363000000008,79.89564199999998,13.58464199999998
50,2,116,49744,0.0,19608,19608,772221,True,0.8235365068988514,0.0,3671.63273,3759.963724,2515.8361390000077
50,2,121,49648,0.0,41696,41696,841,True,0.9999999999798582,0.0,6.510745,69.628637,6.500130999999996
50,4,1,24669,0.0,785,785,690,True,0.4788195711022409,0.0,4.1358319999999935,50.258425,2.8169130000000138
50,4,6,26973,0.0,8317,8317,12319,True,0.7366625884871293,0.0,95.25798,170.72206,63.35447899999977
50,4,11,24599,0.0,12879,12879,811,True,0.8531647627605526,0.0,5.266436999999996,72.279741,4.0412110000000325
50,4,16,23723,0.0,25376,25376,377,True,0.9999999999578468,0.0,1.4852130000000017,77.390956,1.476073999999997
50,4,21,26292,0.0,59440,59440,493,True,0.9999999999619656,0.0,3.1809259999999995,67.265828,3.1690219999999982
50,4,26,23982,0.0,54,54,211,True,0.999999999958302,0.0,0.5908140000000017,41.537908,0.5852940000000046
50,4,31,26835,0.0,3061,3061,259,True,0.9999999999627353,0.0,1.4166029999999947,72.013086,1.4053409999999928
50,4,36,28996,0.0,10796,10796,389,True,0.939577872777639,0.0,1.3253270000000017,105.413694,1.2001990000000262
50,4,41,29661,0.0,21806,21806,1706,True,0.8798085027180537,0.0,12.734229999999997,84.760441,9.866164999999997
50,4,46,26540,0.0,44455,44455,434,True,0.9540693292782942,0.0,3.094479000000007,49.430952,2.972698999999998
50,4,51,25194,0.0,0,0,1,True,0.999999999960308,0.0,0.037412,0.1857669999999999,0.030895
50,4,56,26349,0.0,570,570,1040,True,0.5512163649265165,0.0,9.257395000000002,77.98062199999998,6.156887999999952
50,4,61,32396,0.0,7898,7898,52323,True,0.8018582540806933,0.0,518.562538,634.493884,352.9331490000026
50,4,66,23722,0.0,23138,23138,573,True,0.999999999957845,0.0,3.3085959999999943,83.074,3.298930999999996
50,4,71,25627,0.0,42645,42645,4769,True,0.8623326959510542,0.0,23.964764,97.177118,16.667168999999944
50,4,76,30362,0.0,0,0,1,True,0.9999999999670641,0.0,0.036017,0.180218,0.029645
50,4,81,31663,0.0,495,495,295,True,0.6514543789075118,0.0,3.0317070000000115,87.96580799999998,2.756309999999999
50,4,86,29955,0.0,8369,8369,21062,True,0.8850275412824227,0.0,136.21889,236.458246,92.66682500000039
50,4,91,31733,0.0,26551,26551,537,True,0.9530772381762495,0.0,3.566564,75.983766,3.424072999999993
50,4,96,29286,0.0,50326,50326,2492,True,0.9111179402816664,0.0,10.018214000000008,73.660137,7.334396999999931
50,4,101,27013,0.0,0,0,1,True,0.9999999999629807,0.0,0.049019,0.2109179999999999,0.0413189999999999
50,4,106,31395,0.0,0,0,1,True,0.9999999999681478,0.0,0.051542,0.2227339999999999,0.043132
50,4,111,32995,0.0,10069,10069,6780,True,0.9210183360836182,0.0,36.45464899999999,184.830842,25.66106500000004
50,4,116,26568,0.0,11552,11552,9055,True,0.8558039746742019,0.0,47.857748000000015,160.635101,31.579607000000024
50,4,121,27900,0.0,23792,23792,9278,True,0.8808960573160969,0.0,51.990979,132.54091300000002,35.215297999999734
100,2,1,164036,0.0,3339,3339,2396,True,0.407459338191571,0.0,108.983953,252.539847,89.87220999999998
100,2,6,182886,0.0006852891265222265,30644,30665,491788,False,0.6305567402609792,0.0006852891267234,7138.580528,7322.078264,4723.76975299998
100,2,11,166029,0.0,93894,93894,1011,True,0.9999999999939769,0.0,23.564504000000028,261.96549500000003,23.534253000000007
