NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt050_071,50,2,63.49564738300023,63.24732100000001,4.773254999999999,4.758898000000002,4.758901999999999,58.274094000000005,0.19840999999999553,2.238568999999991,0.03837400000000457,0,78532,78532,0,78532,78532,603,603,0,21/06/15,15000,1,0.8,4,42291,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_076,50,2,0.36840652099999716,0.336727,0.07647000000000004,0.06291399999999997,0.06291800000000003,0,0.26022199999999995,0.06274099999999999,0.04615600000000003,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,57822,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_081,50,2,77.43384286499986,77.09364599999999,6.778856999999988,4.684816000000026,2.640590000000003,70.028531,0.282432,3.0059180000000367,0.4210199999999986,0,542,542,0.007434944224098617,542,538,481,327,1,21/06/15,15000,1,0.8,4,60782,60782,20,0.2,false,0,0,0,0,0,110,0,0
wt050_061,50,2,596.5017232700002,592.054319,532.7638730000001,344.51039000000026,3.56297,59.102920000000005,0.18528899999999737,131.43881999999547,52.57312199999619,0,13682,13682,0.007362685907277081,13682,13582,101699,480,165,21/06/15,15000,1,0.8,4,60495,13718,20,0.2,false,0,0,0,0,0,110,0,0
wt040_066,40,2,1462.9120686630001,1450.6314889999999,1407.355439,844.5908709999898,2.2465839999999986,43.121776000000004,0.15145700000000062,246.67603000000415,92.66691699999669,0,35279,35279,0.004241389125982311,35279,35130,351071,365,855,21/06/15,15000,1,0.8,4,34477,8556,20,0.2,false,0,0,0,0,0,110,0,0
wt050_091,50,2,99.87846266999986,99.319179,46.424632,32.22246300000001,4.131557999999998,52.683566,0.2105019999999982,10.694517999999597,2.499040999999899,0,47349,47349,0.0011841075846069375,47349,47293,12009,565,32,21/06/15,15000,1,0.8,4,58096,7681,20,0.2,false,0,0,0,0,0,110,0,0
wt050_101,50,2,0.31613074000006236,0.291375,0.071294,0.06037200000000004,0.06037399999999998,0.001014000000000001,0.2155,0.060348999999999986,0.04847199999999999,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,51299,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_106,50,2,0.3355093619998115,0.313603,0.07601100000000002,0.06552199999999997,0.06552599999999997,0.0008219999999999998,0.23316299999999998,0.064772,0.049788,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,59079,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_096,50,2,77.32901338200008,77.08193499999999,9.013919000000001,7.810124000000016,4.464733999999993,67.83472499999999,0.22958899999999005,2.663702999999927,0.13922499999998195,0,92822,92822,0.0002262906649688442,92822,92801,1498,592,2,21/06/15,15000,1,0.8,4,50619,4164,20,0.2,false,0,0,0,0,0,110,0,0
wt050_111,50,2,109.08442819600032,108.775338,9.305605,7.783336999999975,4.198854999999995,99.194447,0.2748590000000064,3.0253070000001117,0.2593260000000015,0,15564,15564,0.0013510905229781192,15564,15543,1630,480,2,21/06/15,15000,1,0.8,4,64306,5174,20,0.2,false,0,0,0,0,0,110,0,0
wt050_121,50,2,81.93383594999978,81.65120999999999,6.200393999999989,6.187721999999994,6.187724000000003,75.233515,0.21391200000000765,2.7479830000001755,0.03522100000000705,0,41696,41696,0,41696,41696,637,637,0,21/06/15,15000,1,0.8,4,49648,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_086,50,2,1306.940886465,1297.2509129999999,1200.993325,760.7473030000039,5.5040929999999975,95.983258,0.26921400000000517,222.03565299996475,85.39900899998942,0,12557,12557,0.02372218146052644,12558,12267,303977,520,298,21/06/15,15000,1,0.8,4,56774,15711,20,0.2,false,0,0,0,0,0,110,0,0
