NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_011,40,2,26.147704447968863,26.031358000000001,3.0562709999999988,2.0254129999999861,0.78528400000000076,22.863412999999998,0.10763700000000043,0.68328599999993855,0.14804900000000032,0,9617,9617,0.0026063386152412075,9617,9592,755,245,4,21/06/02,10000,1,0.80000000000000004,4,26561,5879,0,0,0,0,0,110,0,0,
wt040_011,40,2,37.849079436040483,37.736134999999997,3.222834000000006,2.2751479999999873,0.90451999999999799,34.388946999999995,0.12060499999999763,0.84477200000018371,0.24540599999998136,0,9617,9617,0.0026063386152412075,9617,9592,776,263,4,21/06/02,15000,1,0.80000000000000004,4,26561,5927,0,0,0,0,0,110,0,0,
wt040_016,40,2,76.128645114949904,75.611113000000003,50.169725000000007,28.740918999999966,1.4287519999999994,25.322934,0.11532100000000156,6.8819610000003237,2.7130350000000263,0,38356,38356,0.0020639026046434176,38356,38277,15461,405,13,21/06/02,10000,1,0.80000000000000004,4,28623,5567,0,0,0,0,0,110,0,0,
wt040_016,40,2,237.33862822898664,235.570571,211.67022500000002,119.13099999999969,1.4852779999999974,23.772489,0.12393900000000002,31.025499000001286,13.558972999999217,0,38356,38356,0.0020639026046434176,38356,38277,69302,393,79,21/06/02,10000,1,0.80000000000000004,4,28623,5590,0,0,0,0,0,110,0,0,
wt040_016,40,2,235.02193354000337,233.035415,217.160169,121.76006699999995,1.0315070000000013,15.775114,0.096938999999998998,32.145865999997284,14.294198999999519,0,38356,38356,0.0020639026046434176,38356,38277,52397,402,50,21/06/02,10000,1,0.80000000000000004,4,28623,5590,0,0,0,0,0,110,0,0,
wt040_016,40,2,1408.692043346935,1396.0982920000001,1359.417025,760.97346499999514,1.4145189999999985,36.573584000000004,0.10429300000000552,192.6222680000327,84.311351999995225,0,38356,38356,0.0020639026046434176,38356,38277,328263,389,304,21/06/02,15000,1,0.80000000000000004,4,28623,5567,0,0,0,0,0,110,0,0,
wt040_021,40,2,12.908889196929522,12.835509,1.5083120000000001,1.5062810000000013,1.5062820000000006,11.251148000000001,0.07297599999999882,0.57259599999999544,0.015221999999999625,0,41048,41048,0,41048,41048,489,489,0,21/06/02,10000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_021,40,2,16.926012054085732,16.851972,1.9886029999999995,1.9811980000000009,1.9811999999999976,14.774217,0.089085999999999999,0.60927500000001089,0.019757999999999498,0,41048,41048,0,41048,41048,472,472,0,21/06/02,10000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_021,40,2,16.478377743042074,16.370191999999999,1.3124230000000008,1.3101010000000013,1.3101040000000008,14.987525,0.069740000000001245,0.52911299999996331,0.014276999999999873,0,41048,41048,0,41048,41048,473,473,0,21/06/02,10000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_021,40,2,17.865300762001425,17.810563000000002,1.365120000000001,1.3627730000000007,1.3627749999999992,16.374545999999999,0.067726000000000397,0.50308499999998801,0.013248000000000815,0,41048,41048,0,41048,41048,494,494,0,21/06/02,15000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_026,40,2,24.033155580051243,23.892298999999998,8.5634180000000022,3.8701309999999989,0.53870700000000049,15.175783000000001,0.14899800000000063,2.2941729999999847,1.1305319999999934,0,87,87,0.060975609012492576,87,82,813,154,9,21/06/02,10000,1,0.80000000000000004,4,29758,18949,0,0,0,0,0,110,0,0,
wt040_026,40,2,23.362439682940021,23.215876999999999,7.820036,3.5636670000000095,0.48165699999999845,15.253833,0.14155799999999985,2.0861459999998893,0.99129399999999279,0,87,87,0.060975609012492576,87,82,792,140,8,21/06/02,10000,1,0.80000000000000004,4,29758,18102,0,0,0,0,0,110,0,0,
wt040_026,40,2,15.026684161974117,14.89019,4.5770049999999998,2.2094419999999939,0.48299799999999848,10.210729000000001,0.099112999999999118,1.3987329999999982,0.58746900000000402,0,87,87,0.060975609012492576,87,82,620,185,6,21/06/02,10000,1,0.80000000000000004,4,29758,18949,0,0,0,0,0,110,0,0,
wt040_026,40,2,23.973826539004222,23.826953,3.5429069999999996,1.6913109999999918,0.37356100000000225,20.188397999999999,0.091631999999997049,1.1138310000000331,0.48601600000000289,0,87,87,0.060975609012492576,87,82,471,135,5,21/06/02,15000,1,0.80000000000000004,4,29758,18949,0,0,0,0,0,110,0,0,
wt040_031,40,2,20.561138857039623,20.449267000000003,2.9616399999999992,2.1340169999999965,0.74094200000000043,17.376701000000001,0.10742700000000127,0.94234099999991017,0.17279400000000322,0,3812,3812,0.014369345392663825,3812,3758,887,267,3,21/06/02,10000,1,0.80000000000000004,4,34158,11016,0,0,0,0,0,110,0,0,
wt040_031,40,2,32.665132938069291,32.549127999999996,6.028693999999998,4.0017390000000042,0.90110400000000013,26.366215,0.15008800000000022,1.7470460000000365,0.56562900000001548,0,3812,3812,0.014369345392663825,3812,3758,1092,240,4,21/06/02,10000,1,0.80000000000000004,4,34158,11573,0,0,0,0,0,110,0,0,
